ID,Work Item Type,Title,Test Step,Step Action,Step Expected
,Test Case,Verify Upload In Progress Modal Display and Content,1,Navigate to eNcounter Summary Upload Modal,eNcounter Summary Upload Modal is displayed
,,,1,Navigate to eNcounter Summary Upload Modal,eNcounter Summary Upload Modal is displayed
,,,2,Locate Upload Summary button,Upload Summary button is accessible and clickable
,,,3,Click Upload Summary button,Upload in Progress modal displays
,,,4,Read modal content,Modal displays message informing user that upload is in progress

,Test Case,Verify Finish Button Ends Consult and Navigates to Let's Get Started,1,Navigate to eNcounter Summary Upload Modal,eNcounter Summary Upload Modal is displayed
,,,1,Navigate to eNcounter Summary Upload Modal,eNcounter Summary Upload Modal is displayed
,,,2,Click Upload Summary button,Upload in Progress modal is displayed
,,,3,Locate Finish button,Finish button is visible and clickable in the modal
,,,4,Click Finish button,Button is clicked
,,,5,Verify consult session ends,Consult session is terminated
,,,6,Verify navigation,User is navigated to Let's Get Started Screen

,Test Case,Verify X Button Closes Modal and Returns to Workspace,1,Navigate to eNcounter Summary Upload Modal,eNcounter Summary Upload Modal is displayed
,,,1,Navigate to eNcounter Summary Upload Modal,eNcounter Summary Upload Modal is displayed
,,,2,Click Upload Summary button,Upload in Progress modal is displayed
,,,3,Locate close button (X),Close button (X) is visible in the modal
,,,4,Click X button,Modal closes when X button is clicked
,,,5,Verify navigation,User is navigated back to workspace screen

,Test Case,Verify Navigation Differences Between Finish and X,1,Navigate to eNcounter Summary Upload Modal,eNcounter Summary Upload Modal is displayed
,,,1,Navigate to eNcounter Summary Upload Modal,eNcounter Summary Upload Modal is displayed
,,,2,Click Upload Summary button,Upload in Progress modal is displayed
,,,3,Click Finish button,Finish button is clicked
,,,4,Verify Finish navigation,User is navigated to Let's Get Started Screen
,,,5,Re-navigate to eNcounter Summary Upload Modal,eNcounter Summary Upload Modal is displayed again
,,,6,Click Upload Summary button again,Upload in Progress modal is displayed again
,,,7,Click X button,X button is clicked
,,,8,Verify X navigation,User is navigated back to workspace screen
,,,9,Compare navigation destinations,Finish navigates to Let's Get Started Screen while X navigates to workspace screen

,Test Case,Verify Upload In Progress Modal Display Flow,1,Complete an eNcounter session with data to upload,eNcounter session is ready for upload
,,,1,Complete an eNcounter session with data to upload,eNcounter session is ready for upload
,,,2,Navigate to eNcounter Summary Upload Modal,eNcounter Summary Upload Modal is displayed
,,,3,Click Upload Summary button,Upload Summary button is clicked
,,,4,Observe Upload in Progress modal,Upload in Progress modal displays immediately after button click
,,,5,Verify modal components,"Modal contains upload progress indicator, message, and action buttons (Finish and X)"
