ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
,"Test Case","Verify Select Patient screen displays with all required elements",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Authenticate successfully with valid credentials","Authentication is successful",,,
,,,"2","Choose Patient Consultation workflow option","Patient Consultation option is selected",,,
,,,"3","Observe the Select Patient screen","Select Patient screen is displayed",,,
,,,"4","Verify search form contains first name field","First name field is present",,,
,,,"5","Verify search form contains last name field","Last name field is present",,,
,,,"6","Verify search form contains date of birth field","Date of birth field is present",,,
,,,"7","Verify search form contains Patient ID field","Patient ID field is present",,,
,,,"8","Verify search form contains Alternative ID field","Alternative ID field is present",,,
,,,"9","Verify search form contains clear button","Clear button is present",,,
,,,"10","Verify search form contains search button","Search button is present",,,
,,,"11","Verify search results area is displayed","Search results area is displayed",,,
,,,"12","Verify navigation bar is at the top","Navigation bar is displayed at the top",,,
,,,"13","Verify Include DICOM Worklist toggle is displayed","Include DICOM Worklist toggle is displayed",,,
,,,"14","Verify Cancel button is displayed","Cancel button is displayed",,,
,,,"15","Verify Continue button is displayed","Continue button is displayed",,,

,"Test Case","Verify successful patient search with results displays patient information",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Navigate to Select Patient screen","Select Patient screen is displayed",,,
,,,"2","Enter search criteria in one or more fields","Search criteria is entered",,,
,,,"3","Click the Search button","Search executes successfully",,,
,,,"4","Observe the search results list","List of matching patients is displayed",,,
,,,"5","Verify each patient shows patient name","Patient name is displayed for each result",,,
,,,"6","Verify each patient shows DOB and Age","DOB and Age are displayed for each result",,,
,,,"7","Verify each patient shows Gender","Gender is displayed for each result",,,
,,,"8","Verify each patient shows generice profile avatar","""Generic"" Profile avatar is displayed for each result",,,
,,,"9","Verify each patient shows dropdown arrow","Dropdown arrow is displayed for each result",,,

,"Test Case","Verify search with no results displays appropriate message and create button",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Navigate to Select Patient screen","Select Patient screen is displayed",,,
,,,"2","Enter search criteria that matches no patients","Search criteria is entered",,,
,,,"3","Click the Search button","Search executes",,,
,,,"4","Observe the search results area","No results found message is displayed",,,
,,,"5","Verify Create Patient button is displayed","Create Patient button is displayed",,,

,"Test Case","Verify unsuccessful search handles error appropriately",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Navigate to Select Patient screen","Select Patient screen is displayed",,,
,,,"2","Perform search that triggers system error","Search fails to execute",,,
,,,"3","Observe the error handling","No results found message is displayed",,,
,,,"4","Verify Create Patient button is displayed","Create Patient button is displayed",,,

,"Test Case","Verify First Name field input validation",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Navigate to Select Patient screen","Select Patient screen is displayed",,,
,,,"2","Enter invalid characters in First Name field","Invalid characters are entered (e.g. # or %)",,,
,,,"3","Observe the validation error","Validation error message is displayed",,,
,,,"4","Clear the field and enter valid characters","Valid characters matching regex are entered",,,
,,,"5","Observe no validation error","No validation error is displayed",,,

,"Test Case","Verify Last Name field input validation",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Navigate to Select Patient screen","Select Patient screen is displayed",,,
,,,"2","Enter invalid characters in Last Name field","Invalid characters are entered (e.g. # or %)",,,
,,,"3","Observe the validation error","Validation error message is displayed",,,
,,,"4","Clear the field and enter valid characters","Valid characters matching regex are entered",,,
,,,"5","Observe no validation error","No validation error is displayed",,,

,"Test Case","Verify Date of Birth field input validation",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Navigate to Select Patient screen","Select Patient screen is displayed",,,
,,,"2","Enter invalid date format in Date of Birth field","Invalid format is entered (e.g. DD/MM/YYYY or YYYY-MM-DD)",,,
,,,"3","Observe the validation error","Validation error message is displayed",,,
