ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
,"Test Case","Verify Forms Based Authentication Welcome Screen Components",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Launch application with forms based authentication enabled","Application loads at startup",,,
,,,"2","Observe welcome screen","Welcome screen is visible with username field",,,
,,,"3","Verify password field","Password field is displayed on welcome screen",,,
,,,"4","Verify Sign-in Log-in button","Sign-in Log-in button is displayed on welcome screen",,,
,,,"5","Verify 'Forgot your password?' button","'Forgot your password?' button is displayed on welcome screen",,,
,,,"6","Verify 'Sign in with Microsoft' button","'Sign in with Microsoft' button is displayed on welcome screen",,,
,,,"7","Verify device clearing message","Message 'Please ensure you have cleared all devices of previous patient data.' is displayed",,,
,,,"8","Verify 'Is this an Emergency?' button","'Is this an Emergency?' button is displayed on welcome screen",,,
,,,"9","Verify copyright text","Copyright text is displayed at the bottom of welcome screen",,,

,"Test Case","Verify Successful User Authentication",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Navigate to welcome screen","Welcome screen is displayed",,,
,,,"2","Enter valid username in username field","Username is accepted in the username field",,,
,,,"3","Enter valid password in password field","Password is accepted in the password field (masked)",,,
,,,"4","Click Sign-In button","Sign-In button responds to click action",,,
,,,"5","Verify navigation","Application navigates to patient intake screen",,,

,"Test Case","Verify Unsuccessful User Authentication",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Navigate to welcome screen","Welcome screen is displayed",,,
,,,"2","Enter invalid username","Invalid username is entered in username field",,,
,,,"3","Enter invalid password","Invalid password is entered in password field",,,
,,,"4","Click Sign-In button","Sign-In button responds to click action",,,
,,,"5","Observe error message","Error message is displayed",,,
,,,"6","Observe username field highlighting","Username field is highlighted red with alert icon",,,
,,,"7","Observe password field highlighting","Password field is highlighted red with alert icon",,,
,,,"8","Click 'x' on error message","Error message closes",,,

,"Test Case","Verify Forgot Password Functionality",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Navigate to welcome screen","Welcome screen is displayed",,,
,,,"2","Locate 'Forgot your password?' button","'Forgot your password?' button is visible and clickable",,,
,,,"3","Click 'Forgot your password?' button","'Forgot your password?' button responds to click action",,,
,,,"4","Verify navigation","Application navigates to forgot/change password screen",,,

,"Test Case","Verify Unlicensed Application Behavior",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Remove all licenses from host machine","No license is activated on host machine",,,
,,,"2","Launch application","Application begins loading process",,,
,,,"3","Wait for loading to complete","Loading process completes",,,
,,,"4","Verify application behavior","Application opens as ClearSteth with listen-only functionality",,,

,"Test Case","Verify eNcounter License Behavior",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Activate eNcounter license on host machine","eNcounter license is activated on host machine",,,
,,,"2","Launch application","Application begins loading process",,,
,,,"3","Wait for loading to complete","Loading process completes",,,
,,,"4","Verify welcome screen variant","eNcounter variant of welcome/log in screen is displayed",,,
,,,"5","Compare with Figma design","Welcome screen matches eNcounter variant in Figma link",,,

,"Test Case","Verify ClearSteth License Behavior",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Activate ClearSteth license on host machine","ClearSteth license is activated on host machine",,,
,,,"2","Launch application","Application begins loading process",,,
,,,"3","Wait for loading to complete","Loading process completes",,,
,,,"4","Verify welcome screen variant","ClearSteth variant of welcome/log in screen is displayed",,,

,"Test Case","Verify Device Clearing Message Display",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Ensure eNcounter license is activated","eNcounter license is activated on host machine",,,
,,,"2","Launch eNcounter system","eNcounter system launches successfully",,,
,,,"3","Navigate to Welcome/Log In screen","eNcounter variant of Welcome/Log In screen is displayed",,,
,,,"4","Observe device clearing message","Message 'Please ensure you have cleared all devices of previous patient data.' is visible",,,

,"Test Case","Verify Sign in with Microsoft Option",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Ensure eNcounter license is activated","eNcounter license is activated on host machine",,,
,,,"2","Launch eNcounter system","eNcounter system launches successfully",,,
,,,"3","Navigate to Welcome/Log In screen","eNcounter variant of Welcome/Log In screen is displayed",,,
,,,"4","Verify 'Sign in With Microsoft' option","'Sign in With Microsoft' option is available and visible",,,

,"Test Case","Verify Is This an Emergency Option",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Ensure eNcounter license is activated","eNcounter license is activated on host machine",,,
,,,"2","Launch eNcounter system","eNcounter system launches successfully",,,
,,,"3","Navigate to Welcome/Log In screen","eNcounter variant of Welcome/Log In screen is displayed",,,
,,,"4","Verify 'Is this an emergency' option","'Is this an emergency' option is available and visible",,,

,"Test Case","Verify Copyright Text Display",,,,"GlobalMed","Cody Huls <CHuls@globalmed.com>","Design"
,,,"1","Ensure eNcounter license is activated","eNcounter license is activated on host machine",,,
,,,"2","Launch eNcounter system","eNcounter system launches successfully",,,
,,,"3","Navigate to Welcome/Log In screen","eNcounter variant of Welcome/Log In screen is displayed",,,
,,,"4","Locate copyright text","Copyright text is visible at the bottom of the screen",,,
,,,"5","Verify copyright text content","Copyright text displays correct copyright information",,,
